projectName,status,landmark,fullAddress,city,type,price,search_text
Sainath Vrindavan,UNDER_CONSTRUCTION,JBCN International School Mulund,Prataprao Gujar Rd Neelam Nagar Mulund East Mumbai Maharashtra 400081,Mumbai,1BHK,12000000,Sainath Vrindavan UNDER_CONSTRUCTION JBCN International School Mulund Prataprao Gujar Rd Neelam Nagar Mulund East Mumbai Maharashtra 400081 Mumbai 1BHK 12000000
Sainath Vrindavan,UNDER_CONSTRUCTION,JBCN International School Mulund,Prataprao Gujar Rd Neelam Nagar Mulund East Mumbai Maharashtra 400081,Mumbai,2BHK,17000000,Sainath Vrindavan UNDER_CONSTRUCTION JBCN International School Mulund Prataprao Gujar Rd Neelam Nagar Mulund East Mumbai Maharashtra 400081 Mumbai 2BHK 17000000
Sainath Vrindavan,UNDER_CONSTRUCTION,JBCN International School Mulund,Prataprao Gujar Rd Neelam Nagar Mulund East Mumbai Maharashtra 400081,Mumbai,2BHK,19000000,Sainath Vrindavan UNDER_CONSTRUCTION JBCN International School Mulund Prataprao Gujar Rd Neelam Nagar Mulund East Mumbai Maharashtra 400081 Mumbai 2BHK 19000000
Sainath Vrindavan,UNDER_CONSTRUCTION,JBCN International School Mulund,Prataprao Gujar Rd Neelam Nagar Mulund East Mumbai Maharashtra 400081,Mumbai,3BHK,33000000,Sainath Vrindavan UNDER_CONSTRUCTION JBCN International School Mulund Prataprao Gujar Rd Neelam Nagar Mulund East Mumbai Maharashtra 400081 Mumbai 3BHK 33000000
Avenue 15,UNDER_CONSTRUCTION,JBCN International School Parel,AVENUE 15 Ramesh Barrel Supplying Company K.T.Gupta Wadi S.P.Murai Rd behind Sewri Road Sewri W Maharashtra 400015,Mumbai,1BHK,9890000,Avenue 15 UNDER_CONSTRUCTION JBCN International School Parel AVENUE 15 Ramesh Barrel Supplying Company K.T.Gupta Wadi S.P.Murai Rd behind Sewri Road Sewri W Maharashtra 400015 Mumbai 1BHK 9890000
Avenue 15,UNDER_CONSTRUCTION,JBCN International School Parel,AVENUE 15 Ramesh Barrel Supplying Company K.T.Gupta Wadi S.P.Murai Rd behind Sewri Road Sewri W Maharashtra 400015,Mumbai,1BHK,14000000,Avenue 15 UNDER_CONSTRUCTION JBCN International School Parel AVENUE 15 Ramesh Barrel Supplying Company K.T.Gupta Wadi S.P.Murai Rd behind Sewri Road Sewri W Maharashtra 400015 Mumbai 1BHK 14000000
Avenue 15,UNDER_CONSTRUCTION,JBCN International School Parel,AVENUE 15 Ramesh Barrel Supplying Company K.T.Gupta Wadi S.P.Murai Rd behind Sewri Road Sewri W Maharashtra 400015,Mumbai,2BHK,15000000,Avenue 15 UNDER_CONSTRUCTION JBCN International School Parel AVENUE 15 Ramesh Barrel Supplying Company K.T.Gupta Wadi S.P.Murai Rd behind Sewri Road Sewri W Maharashtra 400015 Mumbai 2BHK 15000000
Swaroop Aditya Avenue,UNDER_CONSTRUCTION,Infiniti Mall ,"Swaroop Aditya Avenue, Sheraton Hotel, Marol Pipeline Rd, near Itc Maratha, Kanti Nagar, J B Nagar, Andheri East, Mumbai, Maharashtra 400099",Mumbai,Office,5975000,"Swaroop Aditya Avenue UNDER_CONSTRUCTION Infiniti Mall  Swaroop Aditya Avenue, Sheraton Hotel, Marol Pipeline Rd, near Itc Maratha, Kanti Nagar, J B Nagar, Andheri East, Mumbai, Maharashtra 400099 Mumbai Office 5975000"
Swaroop Aditya Avenue,UNDER_CONSTRUCTION,Infiniti Mall ,"Swaroop Aditya Avenue, Sheraton Hotel, Marol Pipeline Rd, near Itc Maratha, Kanti Nagar, J B Nagar, Andheri East, Mumbai, Maharashtra 400099",Mumbai,Office,7720000,"Swaroop Aditya Avenue UNDER_CONSTRUCTION Infiniti Mall  Swaroop Aditya Avenue, Sheraton Hotel, Marol Pipeline Rd, near Itc Maratha, Kanti Nagar, J B Nagar, Andheri East, Mumbai, Maharashtra 400099 Mumbai Office 7720000"
Swaroop Aditya Avenue,UNDER_CONSTRUCTION,Infiniti Mall ,"Swaroop Aditya Avenue, Sheraton Hotel, Marol Pipeline Rd, near Itc Maratha, Kanti Nagar, J B Nagar, Andheri East, Mumbai, Maharashtra 400099",Mumbai,Office,15000000,"Swaroop Aditya Avenue UNDER_CONSTRUCTION Infiniti Mall  Swaroop Aditya Avenue, Sheraton Hotel, Marol Pipeline Rd, near Itc Maratha, Kanti Nagar, J B Nagar, Andheri East, Mumbai, Maharashtra 400099 Mumbai Office 15000000"
